"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1676252843622","修音也救不了的三字歌手","#修音也救不了的三字歌手#","热",2279807,"综艺","修音也救不了的三字歌手"
,"官方准备击落山东海域不明飞行物","#官方准备击落山东海域不明飞行物#","热",1434625,"军事,社会新闻","官方准备击落山东海域不明飞行物"
,"中国救援人员加油保重","#中国救援人员加油保重#","",1056928,"国内要闻","中国救援人员加油保重"
,"超级碗","超级碗","",933800,"体育","超级碗"
,"70岁阿姨微信被封哭诉会孤独终老","#70岁阿姨微信被封哭诉会孤独终老#","热",811393,"社会新闻","70岁阿姨微信被封哭诉会孤独终老"
,"不吃早餐更容易超重","#不吃早餐更容易超重#","新",727404,"社会新闻","不吃早餐更容易超重"
,"专家谈房贷年龄期限可延长到80岁","#专家谈房贷年龄期限可延长到80岁#","新",642741,"财经,社会新闻","专家谈房贷年龄期限可延长到80岁"
,"回南天是南方人专属的痛","#回南天是南方人专属的痛#","",585560,"情感","回南天是南方人专属的痛"
,"福建泉州不愧是众神人间办事处","#福建泉州不愧是众神人间办事处#","新",558682,"社会新闻","福建泉州不愧是众神人间办事处"
,"李培楠夺冠","#李培楠夺冠#","沸",505840,"游戏","李培楠夺冠"
,"已婚男子与人同居生下儿女被刑拘","#已婚男子与人同居生下儿女被刑拘#","新",504033,"社会新闻","已婚男子与人同居生下儿女被刑拘"
,"女子酒店健身房洗澡有陌生男子闯入","#女子酒店健身房洗澡有陌生男子闯入#","新",499973,"社会新闻","女子酒店健身房洗澡有陌生男子闯入"
,"王楚然好漂亮","王楚然好漂亮","",474577,"影视","王楚然好漂亮"
,"张大大 许愿池的王八","张大大 许愿池的王八","",426366,"艺人","张大大 许愿池的王八"
,"勇士向NBA投诉开拓者","#勇士向NBA投诉开拓者#","新",364497,"体育","勇士向NBA投诉开拓者"
,"多人身体绑藏100斤牛肚入境被查","#多人身体绑藏100斤牛肚入境被查#","热",356840,"社会新闻","多人身体绑藏100斤牛肚入境被查"
,"没有服务器 但我们有冠军","没有服务器 但我们有冠军","新",339647,"游戏","没有服务器 但我们有冠军"
,"苹果CEO库克3月将赴华参会","#苹果CEO库克3月将赴华参会#","新",339315,"科技","苹果CEO库克3月将赴华参会"
,"YG新女团PHARITA介绍视频","#YG新女团PHARITA介绍视频#","新",337713,"艺人","YG新女团PHARITA介绍视频"
,"农村老人为何不愿意进城养老","#农村老人为何不愿意进城养老#","",310982,"社会新闻,情感","农村老人为何不愿意进城养老"
,"土耳其彻查地震中大量建筑倒塌问题","#土耳其彻查地震中大量建筑倒塌问题#","新",288182,"社会新闻","土耳其彻查地震中大量建筑倒塌问题"
,"刘敏涛身材","#刘敏涛身材#","",282065,"影视","刘敏涛身材"
,"SMTOWN官网出现黄旭熙背影照","#SMTOWN官网出现黄旭熙背影照#","",281578,"艺人","SMTOWN官网出现黄旭熙背影照"
,"电影院3D眼镜要收费合理吗","#电影院3D眼镜要收费合理吗#","新",281199,"社会新闻,影视","电影院3D眼镜要收费合理吗"
,"7万盆金鱼草开出一片花海","#7万盆金鱼草开出一片花海#","新",280718,"社会新闻","7万盆金鱼草开出一片花海"
,"中国男子短道速滑队摘银","#中国男子短道速滑队摘银#","新",255674,"体育","中国男子短道速滑队摘银"
,"于正说给宋威龙签新剧了","#于正说给宋威龙签新剧了#","",237502,"影视","于正说给宋威龙签新剧了"
,"强震致土叙超3.3万人遇难","#强震致土叙超3.3万人遇难#","",226202,"社会新闻","强震致土叙超3.3万人遇难"
,"泰国人有多爱王嘉尔","#泰国人有多爱王嘉尔#","",225088,"艺人","泰国人有多爱王嘉尔"
,"甘肃定西对彩礼限高","#甘肃定西对彩礼限高#","新",224967,"社会新闻,财经","甘肃定西对彩礼限高"
,"女子超然楼前背满江红时楼亮了","#女子超然楼前背满江红时楼亮了#","",219360,"社会新闻","女子超然楼前背满江红时楼亮了"
,"林孝埈庆祝动作","#林孝埈庆祝动作#","",212445,"体育","林孝埈庆祝动作"
,"G2夺冠","#G2夺冠#","",210893,"游戏","G2夺冠"
,"小狗其实什么都知道","#小狗其实什么都知道#","",196514,"情感","小狗其实什么都知道"
